"date","champaign","salem","ithaca"
2002-12-20,NA,NA,NA
2002-12-21,NA,NA,NA
2002-12-22,29.345,NA,NA
2002-12-23,27.905,NA,NA
2002-12-24,27.065,NA,NA
2002-12-25,24.32,NA,NA
2002-12-26,18.575,NA,NA
2002-12-27,21.545,NA,NA
2002-12-28,26.18,NA,NA
2002-12-29,30.4175,NA,NA
2002-12-30,49.6925,NA,NA
2002-12-31,34.5725,NA,NA
2003-01-01,30.98,NA,NA
2003-01-02,27.05,NA,NA
2003-01-03,22.025,NA,NA
2003-01-04,23.375,NA,NA
2003-01-05,32.285,NA,NA
2003-01-06,29.4875,NA,NA
2003-01-07,NA,NA,NA
2003-01-08,42.8075,NA,NA
2003-01-09,37.49,NA,NA
2003-01-10,23.105,NA,NA
2003-01-11,15.2075,NA,NA
2003-01-12,19.295,NA,NA
2003-01-13,NA,NA,NA
2003-01-14,19.175,NA,NA
2003-01-15,15.1775,NA,NA
2003-01-16,18.2075,NA,NA
2003-01-17,3.59,NA,NA
2003-01-18,6.9275,NA,NA
2003-01-19,13.16,NA,NA
2003-01-20,19.2125,NA,NA
2003-01-21,12.9125,NA,NA
2003-01-22,7.7075,NA,NA
2003-01-23,-0.759999999999998,NA,NA
2003-01-24,3.71,NA,NA
2003-01-25,18.875,NA,NA
2003-01-26,10.535,NA,NA
2003-01-27,4.6025,NA,NA
2003-01-28,28.19,NA,NA
2003-01-29,28.1525,NA,NA
2003-01-30,23.51,NA,NA
2003-01-31,33.2525,NA,NA
2003-02-01,33.5375,NA,NA
2003-02-02,35.3075,NA,NA
2003-02-03,44.4125,NA,NA
2003-02-04,24.5225,NA,NA
2003-02-05,19.28,NA,NA
2003-02-06,28.7825,NA,NA
2003-02-07,12.5525,NA,NA
2003-02-08,22.1975,NA,NA
2003-02-09,24.14,NA,NA
2003-02-10,24.4625,NA,NA
2003-02-11,17.495,NA,NA
2003-02-12,12.515,NA,NA
2003-02-13,22.805,NA,NA
2003-02-14,31.295,NA,NA
2003-02-15,25.5275,NA,NA
2003-02-16,18.3875,NA,NA
2003-02-17,22.9175,NA,NA
2003-02-18,29.1275,NA,NA
2003-02-19,33.05,NA,NA
2003-02-20,33.305,NA,NA
2003-02-21,33.5825,NA,NA
2003-02-22,32.645,NA,NA
2003-02-23,24.275,NA,NA
2003-02-24,17.72,NA,NA
2003-02-25,8.3975,NA,NA
2003-02-26,20.6525,NA,NA
2003-02-27,24.3725,NA,NA
2003-02-28,29.525,NA,NA
2003-03-01,32.015,NA,NA
2003-03-02,29.165,NA,NA
2003-03-03,25.61,NA,NA
2003-03-04,38.3075,NA,NA
2003-03-05,26.255,NA,NA
2003-03-06,25.6025,NA,NA
2003-03-07,34.385,NA,NA
2003-03-08,38.525,NA,NA
2003-03-09,19.37,NA,NA
2003-03-10,17.7725,NA,NA
2003-03-11,31.7975,NA,NA
2003-03-12,47.4575,NA,NA
2003-03-13,38.2775,NA,NA
2003-03-14,38.9975,NA,NA
2003-03-15,44.6375,NA,NA
2003-03-16,NA,NA,NA
2003-03-17,57.65,NA,NA
2003-03-18,58.955,NA,NA
2003-03-19,51.3425,NA,NA
2003-03-20,56.345,NA,NA
2003-03-21,46.2875,NA,NA
2003-03-22,46.7375,NA,NA
2003-03-23,49.9775,NA,NA
2003-03-24,57.545,NA,NA
2003-03-25,50.795,NA,NA
2003-03-26,48.5525,NA,NA
2003-03-27,54.1925,NA,NA
2003-03-28,50.75,NA,NA
2003-03-29,36.4175,NA,NA
2003-03-30,34.46,NA,NA
2003-03-31,44.345,NA,NA
2003-04-01,64.1825,NA,NA
2003-04-02,64.6475,NA,NA
2003-04-03,65.96,NA,NA
2003-04-04,61.2125,NA,NA
2003-04-05,34.7525,NA,NA
2003-04-06,33.575,NA,NA
2003-04-07,37.955,NA,NA
2003-04-08,35.39,NA,NA
2003-04-09,37.7375,NA,NA
2003-04-10,43.3475,NA,NA
2003-04-11,51.125,NA,NA
2003-04-12,52.34,NA,NA
2003-04-13,48.6275,NA,NA
2003-04-14,63.7925,NA,NA
2003-04-15,69.6725,NA,NA
2003-04-16,66.95,NA,NA
2003-04-17,53.57,NA,NA
2003-04-18,52.3025,NA,NA
2003-04-19,62.4875,NA,NA
2003-04-20,59.48,NA,NA
2003-04-21,49.22,NA,NA
