date,maxtemp,mintemp,atobstemp,avgtemp,avgtempdiff,precip,snow,snowdepth
2017-01-01,38,25,31,31.5,7.3,Trace,Trace,1
2017-01-02,40,21,30,30.5,6.4,0,0,1
2017-01-03,37,22,35,29.5,5.6,0.09,0,Trace
2017-01-04,41,35,40,38,14.2,0.37,0,0
2017-01-05,40,17,18,28.5,4.8,0.01,0.4,Trace
2017-01-06,25,11,12,18,-5.6,0.03,1,1
2017-01-07,18,3,4,10.5,-13,0,0,1
2017-01-08,21,4,8,12.5,-10.9,0,0,1
2017-01-09,17,1,6,9,-14.3,Trace,0.2,Trace
2017-01-10,20,6,18,13,-10.3,0,0,Trace
2017-01-11,39,18,39,28.5,5.3,0.06,0.5,1
2017-01-12,48,39,47,43.5,20.3,0.02,0,0
2017-01-13,51,29,29,40,16.9,0.43,0,0
2017-01-14,29,18,19,23.5,0.4,Trace,Trace,Trace
2017-01-15,28,17,25,22.5,-0.6,0,0,0
2017-01-16,28,12,19,20,-3,0,0,0
2017-01-17,42,19,34,30.5,7.5,0,0,0
2017-01-18,38,34,37,36,13,0.43,0,0
2017-01-19,39,33,33,36,13,0.05,0,0
2017-01-20,36,32,33,34,10.9,0.01,0,0
2017-01-21,40,33,40,36.5,13.4,Trace,0,0
2017-01-22,54,36,36,45,21.9,0,0,0
2017-01-23,58,36,40,47,23.9,0,0,0
2017-01-24,40,29,29,34.5,11.3,0.91,3.6,4
2017-01-25,31,27,30,29,5.8,0.18,2.4,6
2017-01-26,40,30,39,35,11.7,0,0,3
2017-01-27,40,32,32,36,12.7,0.02,Trace,1
2017-01-28,33,27,28,30,6.6,0.01,0.2,Trace
2017-01-29,29,27,28,28,4.6,0.01,0.1,Trace
2017-01-30,31,15,19,23,-0.5,0.01,0.5,1
2017-01-31,23,7,17,15,-8.6,Trace,Trace,1
2017-02-01,33,17,32,25,1.4,0.05,0.6,2
2017-02-02,37,22,26,29.5,5.8,Trace,Trace,2
2017-02-03,29,17,17,23,-0.8,0.04,0.8,3
2017-02-04,22,12,12,17,-6.9,Trace,Trace,2
2017-02-05,28,12,27,20,-4,0,0,1
2017-02-06,34,22,22,28,3.9,Trace,Trace,1
2017-02-07,37,22,31,29.5,5.3,Trace,0,1
2017-02-08,51,31,45,41,16.7,0.28,0,0
2017-02-09,45,15,15,30,5.6,0.26,2.2,2
2017-02-10,17,13,16,15,-9.5,Trace,0.3,2
2017-02-11,28,16,28,22,-2.6,0.04,0.4,2
2017-02-12,41,28,34,34.5,9.8,0.14,0,0
2017-02-13,36,25,26,30.5,5.6,0.69,4,4
2017-02-14,27,17,19,22,-3,0.01,0.2,3
2017-02-15,43,19,35,31,5.9,0.01,0,2
2017-02-16,37,18,18,27.5,2.2,0.12,2,4
2017-02-17,23,18,20,20.5,-4.9,Trace,0.5,4
2017-02-18,36,20,36,28,2.4,0,0,2
2017-02-19,64,30,32,47,21.3,0,0,0
2017-02-20,56,31,31,43.5,17.6,0,0,0
2017-02-21,40,22,32,31,4.9,0,0,0
2017-02-22,47,32,40,39.5,13.2,0.01,0,0
2017-02-23,60,40,48,50,23.5,0,0,0
2017-02-24,67,41,42,54,27.3,0,0,0
2017-02-25,73,42,62,57.5,30.6,0,0,0
2017-02-26,64,25,25,44.5,17.4,0.55,Trace,0
2017-02-27,34,24,33,29,1.7,Trace,Trace,0
2017-02-28,50,33,36,41.5,14,0.02,0,0
2017-03-01,60,35,55,47.5,19.7,0,0,0
2017-03-02,65,24,25,44.5,16.5,0.04,Trace,Trace
2017-03-03,33,12,12,22.5,-5.7,0.01,0.2,Trace
2017-03-04,27,12,12,19.5,-9,0.05,1.5,2
2017-03-05,14,-5,-5,4.5,-24.3,0.02,0.4,1
